title,sku,price,retail_price,category,sub_category,description,width,height,depth,tags,brand,designer,images
1970S Modular Leather Sofa In Cognac Leather,6957989494916,4100.0,5185.0,seating,LEATHER SOFA,Origin: Germany. Designer: Unknown. Manufacturer: Unknown. Era: 1970s. Materials: Leather. Measurements (each section): 34″ wide x 34″ deep x 36.25″ tall Condition: In excellent original condition.,34,36.25,34,"1970s, 2023, DA12832, depth:34, Germany, height:36.25, JANUARY 2023, leather, sale, width:34",,,"https://midcenturymobler.com/cdn/shop/products/DA12832.jpg?v=1662807032, https://midcenturymobler.com/cdn/shop/products/DA12832d.jpg?v=1662807045, https://midcenturymobler.com/cdn/shop/products/DA12832e.jpg?v=1662807047, https://midcenturymobler.com/cdn/shop/products/DA12832g.jpg?v=1662807046, https://midcenturymobler.com/cdn/shop/products/DA12832f.jpg?v=1662807046, https://midcenturymobler.com/cdn/shop/products/DA12832h.jpg?v=1662807045, https://midcenturymobler.com/cdn/shop/products/DA12832j.jpg?v=1662807046, https://midcenturymobler.com/cdn/shop/products/DA12832i.jpg?v=1662807046, https://midcenturymobler.com/cdn/shop/products/DA12832l.jpg?v=1662807047"
"Set Of Four Teak ""Sonja"" Dining Chairs By Johannes Andersen",7101131227268,4600.0,,seating,DINING CHAIRS,"Origin: Denmark. Designer: Johannes Andersen. Manufacturer: Vamo Sonderborg. Era: 1960s. Materials: Teak. Measurements: 17.5"" wide x 18"" deep x 30"" tall, Seat Height: 18"" tall",17.5,30,18,"1960s, 2023, CHAIRS, DA13100, DANISH MODERN, Denmark, DINING CHAIRS, JOHANNES ANDERSEN, June2023, May 2023, restore, restored, SET OF FOUR, SONJA, TEAK, upholstery, Vamo Sonderborg",Vamo Sonderborg,Johannes Andersen,"https://midcenturymobler.com/cdn/shop/products/DA13100b.jpg?v=1681639006, https://midcenturymobler.com/cdn/shop/products/DA13100h.jpg?v=1681639012, https://midcenturymobler.com/cdn/shop/products/DA13100c.jpg?v=1681639012, https://midcenturymobler.com/cdn/shop/products/DA13100e.jpg?v=1681639012, https://midcenturymobler.com/cdn/shop/products/DA13100f.jpg?v=1681639012"
Danish Modern Draw Leaf Dining Table In Rosewood,6710744449156,3800.0,,tables,Cabinets & Storage,"Origin: Denmark. Designer: Unknown. Manufacturer: Unknown. Era: 1960s. Materials: Rosewood. Measurements: 55″ closed, 94.5″ open wide x 35.5″ deep x 28.75″ tall",94.5,28.75,35.5,"1960s, danish modern, denmark, depth:35.5, dining table, DRAW LEAF DINING TABLE, height:28.75, restored, rosewood, table, width:94.5",,,"https://midcenturymobler.com/cdn/shop/products/DA12443.jpg?v=1642635364, https://midcenturymobler.com/cdn/shop/products/DA12443b.jpg?v=1642635364, https://midcenturymobler.com/cdn/shop/products/DA12443c.jpg?v=1642635364, https://midcenturymobler.com/cdn/shop/products/DA12443d.jpg?v=1642635364"
"Hans Wegner Jh517 ""Buck"" Lounge Chair In Oak #3",7277385777284,6800.0,,seating,LOUNGE CHAIR,"Origin: Denmark. Designer: Hans Wegner. Manufacturer: Johannes Hansen. Era: 1950s. Materials: Oak, Wool. Measurements: 28.25"" wide x 27"" deep x 28.5″ tall, Seat: 16"" tall Condition: In good original condition with vintage wear. Restoration Includes:• Structural + joint repair (if necessary) on all joints• Refinish all wood surfaces in lacquer• New custom upholstery with fresh foam and material (inquire for available fabrics and physical samples) Fabrics recommend for upholstery: HallingdalTonusTonicaClaraDivina MD",28.25,28.5,27,"buck, buck chair, danish, denmark, depth:27, hanswegner, height:28.5, jh517, johannes hansen, new, oak, wegner, width:28.25, wool",Johannes Hansen,Hans Wegner,"https://midcenturymobler.com/cdn/shop/files/DSC_3175.jpg?v=1719461080, https://midcenturymobler.com/cdn/shop/files/DSC_3152.jpg?v=1719461136, https://midcenturymobler.com/cdn/shop/files/DSC_3155.jpg?v=1719461136, https://midcenturymobler.com/cdn/shop/files/DSC_3160.jpg?v=1719461136, https://midcenturymobler.com/cdn/shop/files/DSC_3162.jpg?v=1719461136, https://midcenturymobler.com/cdn/shop/files/DSC_3165.jpg?v=1719461136, https://midcenturymobler.com/cdn/shop/files/DSC_3167.jpg?v=1719461136, https://midcenturymobler.com/cdn/shop/files/DSC_3170.jpg?v=1719461136, https://midcenturymobler.com/cdn/shop/files/DSC_3171.jpg?v=1719461136, https://midcenturymobler.com/cdn/shop/files/DSC_3179.jpg?v=1719461136"
Floating Design Lounge Chair By Eric Sigfrid Persson,6710740025476,1500.0,1800.0,seating,Cabinets & Storage,"Origin: Sweden. Designer: Eric Sigfrid Persson. Manufacturer: Unknown. Era: 1970s. Materials: Leather, Aluminum. Measurements: 33.5″ wide x 30.5"" deep x 33″ tall Condition: In excellent original condition.",33.5,33,30.5,"aluminum, chair, Eric Sigfrid Persson, FLOATING DESIGN LOUNGE CHAIR, FLOATING LOUNGE CHAIR, height:33, leather, lounge chair, sale, sofa, sweden, width:33.5",,Eric Sigfrid Persson,"https://midcenturymobler.com/cdn/shop/products/DA12402.jpg?v=1642634914, https://midcenturymobler.com/cdn/shop/products/DA12402c.jpg?v=1642634914, https://midcenturymobler.com/cdn/shop/products/DA12402f.jpg?v=1642634914, https://midcenturymobler.com/cdn/shop/products/DA12402b.jpg?v=1642634914, https://midcenturymobler.com/cdn/shop/products/DA12402e.jpg?v=1642634914, https://midcenturymobler.com/cdn/shop/products/DA12402d.jpg?v=1642634914"
Multi-Width English Modern Credenza In Teak,7206872678532,3275.0,,storage,CREDENZA,"Origin: EnglandDesigner: Beaver + TapleyManufacturer: Beaver + TapleyEra: 1960sMaterials: Teak, AfromosiaMeasurements: 60"" wide x 18"" deep x 30"" tall",60,30,18,"1960s, afromosia, Beaver + Tapley, credenza, england, ENGLAND - JANUARY 2024, PRE-ORDER, restore, restored, teak",,,"https://midcenturymobler.com/cdn/shop/files/DSC_7805.png?v=1709180079, https://midcenturymobler.com/cdn/shop/files/DSC_7809.png?v=1709180084, https://midcenturymobler.com/cdn/shop/files/DSC_7812.png?v=1709180084, https://midcenturymobler.com/cdn/shop/files/DSC_7816.png?v=1709180084, https://midcenturymobler.com/cdn/shop/files/DSC_7821.png?v=1709180084, https://midcenturymobler.com/cdn/shop/files/DSC_7825.png?v=1709180084, https://midcenturymobler.com/cdn/shop/files/DSC_7829.png?v=1709180084, https://midcenturymobler.com/cdn/shop/files/DSC_7833.png?v=1709180084"
Danish Modern Loveseat In Black Leather,6710697197700,2650.0,3200.0,seating,seating,Origin: Denmark. Designer: Unknown. Manufacturer: Unknown. Era: 1960s. Materials: Leather. Measurements: 62″ wide x 33.5″ deep x 30.25″ tall Condition: Leather in excellent original condition with light vintage wear / some patina.,62,30.25,33.5,"depth:33.5, dresser, height:30.25, rosewood, sale, width:62",,,"https://midcenturymobler.com/cdn/shop/products/1_9bfaff6f-b269-4c58-b9e1-f3883573fd00.jpg?v=1642629523, https://midcenturymobler.com/cdn/shop/products/4_f1c7229d-e1a6-49f6-a0e7-17d16f2345f9.jpg?v=1642629523, https://midcenturymobler.com/cdn/shop/products/3_54b5b43f-2c97-4fac-8d87-afc8bfc97274.jpg?v=1642629523, https://midcenturymobler.com/cdn/shop/products/2_f722e86a-20d4-448f-9732-5f26a1e836b1.jpg?v=1642629524"
Florida Model Coffee Table / Planter In Teak By Ingvar Andersson,6800801333380,1645.0,,tables,Tables,"Origin: SwedenDesigner: Ingvar AnderssonManufacturer: Averskogs Möbelfabrik, LammhultEra: 1970sMaterials: TeakMeasurements: 55″ wide x 17.75″ deep x 17″ tall",55,17,17.75,"1960s, 1970s, 2022, April 2022, Averskogs Möbelfabrik, COFFEE TABLE, DA12723, depth:17.75, FLORIDA MODEL, height:17, Ingvar Andersson, Lammhult, PLANTER, restored, Sweden, teak, width:55",,,"https://midcenturymobler.com/cdn/shop/products/DA12723.jpg?v=1650434332, https://midcenturymobler.com/cdn/shop/products/DA12723b.jpg?v=1650434331, https://midcenturymobler.com/cdn/shop/products/DA12723c.jpg?v=1650434333, https://midcenturymobler.com/cdn/shop/products/DA12723d.jpg?v=1650434333, https://midcenturymobler.com/cdn/shop/products/DA12723e.jpg?v=1650434331"
Danish Modern Teak Side Table With Lower Rack,7234644476036,1150.0,,tables,,Origin: DenmarkDesigner: UnknownManufacturer: UnknownEra: 1950sMaterials: TeakMeasurements: 22″ wide x 29.5″ deep x 19.5″ tall,22,19.5,29.5,"danish, danishmodern, depth:29.5, hans wegner, height:19.5, rack, restored, teak, wegner, width:22",,,"https://midcenturymobler.com/cdn/shop/files/DSC_9061.png?v=1709360579, https://midcenturymobler.com/cdn/shop/files/DSC_9060.png?v=1709360579, https://midcenturymobler.com/cdn/shop/files/DSC_9065.png?v=1709360578, https://midcenturymobler.com/cdn/shop/files/DSC_9069.png?v=1709360581, https://midcenturymobler.com/cdn/shop/files/DSC_9072.png?v=1709360582, https://midcenturymobler.com/cdn/shop/files/DSC_9075.png?v=1709360580"
Space Age Ufo Table Lamp By Fog + Morup #3,6710715089028,1650.0,,lighting,lighting,"Origin: Denmark. Designer: Unknown. Manufacturer: Fog + Morup. Era: 1960s. Materials: Steel, Plastic. Measurements: 17.5″ diameter x 19″ tall Condition: In excellent original condition.",,19,,"1960s, AGE, denmark, diameter, diameter:17.5, fog, FOG + MORUP, height:19, lamp, model, modern, morup, October 2021, plastic, PRE-ORDER, SPACE, space age, SPACE AGE UFO TABLE LAMP, steel, table, table lamp, ufo",Fog + Morup,,"https://midcenturymobler.com/cdn/shop/products/DSC_9104_433e9637-6149-42d3-a27c-48889fda5d38.jpg?v=1642632064, https://midcenturymobler.com/cdn/shop/products/DSC_9101_60978d1e-2cc3-499e-876c-9dae83cba10d.jpg?v=1642632064, https://midcenturymobler.com/cdn/shop/products/DSC_9107.jpg?v=1642632064, https://midcenturymobler.com/cdn/shop/products/DSC_9110_46e2173d-7f62-435f-b3ee-e022b8a2d5e4.jpg?v=1642632064"
