title,sku,quantity,price,retail_price,description,width,depth,height,tags,images
Councill COL300 Tufted Sofa,SQ0277950,1,3300.0,6400.0,"This piece evokes Hollywood glamour with its tuxedo style, the sophisticated Sofa is richly diamond tufted on its back and sides and sand upholstery. Sitting on Chateau Brown birch wood legs, Miller commands center stage in a living room or master suite.FREE SHIPPING to Anywhere in the US 48 States",60.2,33,30,"councill, col300, tufted, sofa, seating","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/eec85af9-f574-4e50-9c23-da11836d1dab/Safavieh%2BMiller%2BTufted%2BSofa%2B%282%2BAvailable%29.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/6b97b193-503a-429f-a05e-ad8af14b258b/Safavieh%2BMiller%2BTufted%2BSofa%2B%282%2BAvailable%29%2B4.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/abce84ba-5b40-4dc9-9576-00baf41d6ebe/Safavieh%2BMiller%2BTufted%2BSofa%2B%282%2BAvailable%29%2B2.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/ed2a8017-4654-4d6c-80da-8d4604683188/Safavieh%2BMiller%2BTufted%2BSofa%2B%282%2BAvailable%29%2B5.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/69511b77-0bde-429a-ae03-742cda78265a/Safavieh%2BMiller%2BTufted%2BSofa%2B%282%2BAvailable%29%2B7.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/02162a84-4ad2-44b8-93b4-60c6840e18eb/Safavieh%2BMiller%2BTufted%2BSofa%2B%282%2BAvailable%29%2B6.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1e85f595-4d69-4133-87e7-a5e26f2cbd7e/Safavieh%2BMiller%2BTufted%2BSofa%2B%282%2BAvailable%29%2B3.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/c89a4eb2-8957-47b2-a321-f5b39be9101a/Safavieh%2BMiller%2BTufted%2BSofa%2B%282%2BAvailable%29%2B8.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/4cca6d51-1246-4dc0-8bb8-7ea7aa5fa5a5/IMG_3262.jpg"
Antique Hampden Beer Tray The Handsome Waiter C1930s,SQ0350639,1,150.0,200.0,"This Antique Hampden Beer Tray from the 1930s, known as “The Handsome Waiter,” is a delightful piece of brewery advertising history. Featuring vibrant lithographed artwork of a charismatic waiter serving beer, the tray captures the playful charm and bold branding style of the Prohibition and post-Prohibition era. Its rich colors and detailed illustration showcase exceptional craftsmanship, making it a standout collectible for vintage advertising enthusiasts. With its gently aged patina, this rare tray adds a touch of nostalgic elegance to any bar, kitchen, or decorative collection.FREE SHIPPING to Anywhere in the US 48 States.",13,1.3,13,"antique, hampden, beer-tray, the-handsome-waiter, decor","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/c9014282-c20a-47aa-982e-035a9dd08ad4/Antique+Hampden+Beer+Tray+The+Handsome+Waiter+C1930s.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/ba21ab5d-c7e3-4105-9c22-2596c7b4b459/IMG_3320.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/83c9bba2-c93c-4521-8fe6-b1e5f912e3b6/IMG_3322.jpg"
Antique French Sterling Silver and Glass 3 Scent Bottle Caddy,SQ3701595,1,395.0,899.0,"This Antique French Sterling Silver and Glass Scent Bottle Caddy exudes timeless elegance and craftsmanship. Featuring three crystal bottles with sterling silver screw-top lids, this exquisite caddy is adorned with an intricately designed sterling silver lattice sleeve. Perfect for displaying perfumes or essential oils, the piece showcases French artistry with its delicate detailing and functional design. A true collector's item, this caddy makes a sophisticated addition to any vanity or décor, blending practicality with old-world charm.FREE SHIPPING to Anywhere in the US 48 States",3.5,3.5,5,"antique, french, sterling, silver, glass, 3-scent, bottle, caddy, decor","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/c3f8a00e-c604-408e-a773-870768c3bfe3/Antique+French+Sterling+Silver+and+Glass+3+Scent+Bottle+Caddy.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/c59458a9-f42e-4903-b43f-31047ddf6bd8/Antique+French+Sterling+Silver+and+Glass+3+Scent+Bottle+Caddy+2.jpg"
"Medicis Silver-Plated Champagne Bucket, France C1950s",SQ3969312,1,595.0,1200.0,"The Medicis Silver-Plated Champagne Bucket, crafted in France circa 1950s, is an exquisite testament to mid-century elegance. Its classic silhouette features gracefully fluted details on the base and body, complemented by ornate, curved handles that add a touch of refinement. Designed to chill champagne with style, its silver-plated finish exudes a timeless brilliance that enhances its sophisticated appeal. Perfect for entertaining or as a decorative statement piece, this French-made champagne bucket embodies a blend of functionality and luxury, ideal for elevating any celebration or space.FREE SHIPPING to Anywhere in the US 48 States",11.75,11.75,10.25,"medicis, silver-plated, champagne-bucket, bucket, france, c1950s, decor, barware","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/84115234-98bc-4d41-8446-9cc2ca904374/Medicis+Silver-plated+Champagne+Bucket%2C+France+C1950s.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/c4c21216-fe6f-4fd7-956d-dc499996dcd7/Medicis+Silver-plated+Champagne+Bucket%2C+France+C1950s+4.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/4c8bf7a6-5c34-40a4-91c0-b904484f0e50/Medicis+Silver-plated+Champagne+Bucket%2C+France+C1950s+3.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/b200366d-fa16-4e29-af43-e19b50003fd3/Medicis+Silver-plated+Champagne+Bucket%2C+France+C1950s+2.jpg"
Sunset Beach Photograph in Brushed Metal Frame,SQ7776171,1,795.0,1800.0,"Capture the serenity of nature with this stunning Sunset Beach photograph, encased in a sleek brushed metal frame that enhances its vibrant hues. The image showcases a mesmerizing seascape, blending golden skies and emerald waters in a timeless composition. Perfect for contemporary or coastal-inspired interiors, the sturdy metal frame adds a modern edge while protecting the artwork. This piece offers an inviting focal point, evoking a sense of tranquility and elegance for any space.FREE SHIPPING to Anywhere in the US 48 States.",70.5,3,30.5,"sunset-beach, photograph, brushed-metal-frame, art, decor","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/a3afdb7c-e281-4500-a8f6-2410f4411ec5/Sunset+Beach+Photograph+in+Brushed+Metal+Frame.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/bd623877-f56c-4f63-baa5-270ef0ce721e/IMG_8462.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/7bc60847-9fe4-43b8-8765-99389b180677/IMG_8430.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/4b835fa4-c057-4731-849e-0e1ccb423a26/Sunset+Beach+Photograph+in+Brushed+Metal+Frame+2.jpg"
"Antique Silver Plated Large Trays, Set of 3",SQ2566565,1,695.0,2100.0,"This set of three antique silver-plated trays showcases timeless craftsmanship and refined elegance. Each tray features unique detailing, including ornate handles, raised borders, and intricate engraving, embodying the sophistication of a bygone era. Perfectly sized for serving or display, their generous dimensions make them both practical and decorative. The patina on the silver plating adds a layer of character, telling a story of decades of use and care. Ideal for entertaining or as stunning accent pieces, these trays bring a touch of vintage charm to any setting.FREE SHIPPING to Anywhere in the US 48 States",,,,"antique, silver, plated, large-trays, set-of-3","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/24b94cc7-b98f-4c65-bdf1-edb324f430e5/Antique+Silver+Plated+Large+Trays%2C+Set+of+3.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/76a9c6e4-b973-470a-9e1d-15c89d66aecc/Antique+Silver+Plated+Large+Trays%2C+Set+of+3+2.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/97d13e7f-ead9-4fd6-856d-f385b7f26833/Antique+Silver+Plated+Large+Trays%2C+Set+of+3+5.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/a56e36bd-0fcf-4268-a41f-9dfa0bc8fb34/Antique+Silver+Plated+Large+Trays%2C+Set+of+3+4.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/fc4f764b-9a23-4c2e-8654-fc3db28f8fa5/Antique+Silver+Plated+Large+Trays%2C+Set+of+3+7.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/729099b8-e0cd-4fa5-9c05-7a0ca616e4e0/Antique+Silver+Plated+Large+Trays%2C+Set+of+3+3.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/74b61f53-6d3a-439a-95e1-afe03bd17030/Antique+Silver+Plated+Large+Trays%2C+Set+of+3+6.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/dc05ff41-25a6-4ab6-979f-b857d13fb2f3/Antique%2BSilver%2BPlated%2BLarge%2BTrays%252C%2BSet%2Bof%2B3%2Btag.jpg"
Johnathan Adler Lampert Sofa,SQ8425490,1,1895.0,2630.0,,,,,"jonathan-adler, lampert, sofa, seating","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/24088b40-c1c8-4f49-8202-17d531500807/Johnathan%2B%2BAdler%2BLampert%2BSofa%2B3.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/3d931813-0744-4613-9343-eecf878d787c/Johnathan%2B%2BAdler%2BLampert%2BSofa.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/926b68f8-21c2-4b20-9457-575604df05d4/Johnathan%2B%2BAdler%2BLampert%2BSofa%2B2.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/2232d6b1-b150-4f9e-a47a-affad1593d62/Johnathan%2B%2BAdler%2BLampert%2BSofa%2B5.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/6053f5f3-5a11-4a9a-a38b-0516e16feffe/Johnathan%2B%2BAdler%2BLampert%2BSofa%2B4.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/fdda3e55-92f6-4553-9cb7-84513f808b32/Johnathan%2B%2BAdler%2BLampert%2BSofa%2B6.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/39e3cba7-fe96-4f08-b3d2-79a942ba9aec/IMG_3867+%281%29.jpg"
"Vintage Italian  Silver Plated Photo Frame by LB, 1970s",SQ1413255,1,250.0,425.0,"This Vintage Italian Silver-Plated Photo Frame by LB, crafted in the 1970s, is a beautiful example of Italian design and elegance. Its thick, twisted rope border exudes a classic sophistication, while the silver plating adds a touch of refined luster that enhances any photo it holds. Compact and versatile, this frame is ideal for personal keepsakes, blending seamlessly into both modern and traditional decor. A perfect addition for collectors or anyone who appreciates timeless craftsmanship, this LB frame offers a unique way to display cherished memories with understated luxury.FREE SHIPPING to Anywhere in the US 48 States",10,1.5,8,"vintage, italian, silver, plated, photo-frame, lb-1970s",
Pair of Contemporary Wall Mirrors,SQ1601404,1,595.0,800.0,"This Pair of Contemporary Wall Mirrors offers a sleek and versatile design, perfect for modern interiors. Featuring minimalist rectangular frames in a neutral finish, these mirrors exude understated elegance and adaptability. Their clean-lined structure and expansive reflective surface create the illusion of space and amplify natural light, making them ideal for entryways, living rooms, or bedrooms. Whether used as a duo for symmetry or individually for functional accenting, this pair blends seamlessly into both contemporary and transitional aesthetics, adding a polished touch to your décor.FREE SHIPPING to Anywhere in the US 48 States.",27.5,3.3,67,"contemporary, wall-mirrors, mirrors, decor","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/768a21d0-00f8-46cc-b123-f4d39e8a3638/Pair+of+Contemporary+Wall+Mirrors.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/06122ca9-f78a-4580-9602-a09608501358/Pair+of+Contemporary+Wall+Mirrors+3.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/eca5256a-0e35-4bbc-be5f-340fe54bbbcf/Pair+of+Contemporary+Wall+Mirrors+2.jpg"
Antique Art Nouveau Candelabra,SQ0206138,1,695.0,1695.0,"This Antique Art Nouveau Candelabra, likely dating to the late 19th or early 20th century, is a striking example of the period’s flowing, organic aesthetic. Crafted in silver-plated metal, it features elegant, curvilinear lines and floral-inspired motifs that embody the romanticism of the Art Nouveau movement. The candelabra’s ornate central frame, adorned with scrollwork and symmetrical details, supports multiple candle holders designed to illuminate with grace. Perfect as a statement centerpiece or a decorative accent, this piece showcases exceptional artistry and timeless elegance, bringing a touch of vintage charm to any setting.FREE SHIPPING to Anywhere in the US 48 States",11,11,6.5,"antique, art-nouveau, candelabra, decor, candleholder","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/a3db9408-02f8-47b8-9687-e61327a01a08/Antique+Art+Nouveau+Candelabra+C1850s.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/ef04422e-3510-4144-92c9-9f3087ad4232/Antique+Art+Nouveau+Candelabra+C1850s+3.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/7ba52ae9-4764-4db3-837e-d651a17c1104/Antique+Art+Nouveau+Candelabra+C1850s+5.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/247a62de-c3e4-46c2-8be3-0418bb43338e/Antique+Art+Nouveau+Candelabra+C1850s+2.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/f218e606-af35-41b4-b1d8-9d374d4a35ef/Antique+Art+Nouveau+Candelabra+C1850s+4.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/283f4102-527d-4fcf-8378-2632b782bcd2/Antique+Art+Nouveau+Candelabra+C1850s+tag.jpg"
