sku,title,description,price,retail_price,images,brand,width,height,seat_height,depth,material,style,tags,condition
15410912,"""A Walk Through the Dunes"" - Oil Landscape Painting on Masonite, 2023","Nanette Fluhr’s ""A Walk Through the Dunes"" is a captivating landscape painting that brings viewers into the tranquility of a coastal path surrounded by windswept vegetation. This intimate 8 x 6-inch oil painting, crafted on masonite, beautifully showcases Fluhr's mastery in capturing natural light and atmospheric softness. The sandy trail meanders through a palette of earthy tones and soft greenery, leading the eye towards the distant hint of ocean on the horizon under a serene blue sky. Her attention to detail, especially in the subtle textures and delicate brushstrokes, brings a meditative quality to the scene, invoking the warmth and peace of a quiet dune walk.

This work is housed in a custom wooden frame, bringing the total dimensions to 9.25 x 7.25 inches, which complements the naturalistic charm of the painting. Known for her precise and evocative landscapes, Fluhr has created a piece that resonates with lovers of coastal scenes and collectors of impressionistic realism. In pristine condition, this painting is an original, signed piece by Fluhr, dated 2023.",900,,"https://a.1stdibscdn.com/nanette-fluhr-paintings-a-walk-through-the-dunes-oil-landscape-painting-on-masonite-2023-for-sale-picture-2/a_13082/a_154109121731695863606/i0xrl7aa6nzwv1zjmsze_master.jpg, https://a.1stdibscdn.com/nanette-fluhr-paintings-a-walk-through-the-dunes-oil-landscape-painting-on-masonite-2023-for-sale-picture-3/a_13082/a_154109121731695873435/a_walk_through_the_dunes_1__master.jpg, https://a.1stdibscdn.com/nanette-fluhr-paintings-a-walk-through-the-dunes-oil-landscape-painting-on-masonite-2023-for-sale/a_13082/a_154109121731695850917/fluhr_master.jpg, https://a.1stdibscdn.com/nanette-fluhr-paintings-a-walk-through-the-dunes-oil-landscape-painting-on-masonite-2023-for-sale-picture-4/a_13082/a_154109121731695873405/a_walk_through_the_dunes_master.jpg",Nanette Fluhr,6.0,8.0,,1.0,"Masonite, Oil, ",American Impressionist,"Created in 2020, Period: 21st Century",Excellent
15269002,"""Gratitude 1."" (2020) By Yuko Montgomery, Original Oil Painting of Snail","Yuko Montgomery's ""Yuko Montgomery"" is an original, handmade oil painting that depicts a photorealistic portrait of a snail on a white background.

Born in Chiba, Japan, Yuko was reared by parents who appreciated every aspect of art. As a child growing up in Bangladesh her creative talents began to flourish. In 2000, Yuko attended Tama Art University in Tokyo majoring in oil painting. At that time, her method of expression gradually shifted from canvas to jewelry design. As a result, Yuko launched a jewelry brand while simultaneously attending school. Her jewelry has been sold worldwide and has collaborated with popular fashion brands.

Yuko spent several years in the Netherlands and the United States and moved to Nagasaki Japan, where it’s surrounded by beautiful mountains and the blue ocean. She was deeply impressed by the majestic nature and animals there and that led her soul to start painting again.

Yuko channels her enthusiasm for the amazing characteristics of the animals formed in the process of evolution onto canvas. Employing academic oil painting techniques in the creations of her pieces, Yuko believes that oil gives life to her art because the medium ""works inquisitively as if it has its spirit"".

Her works are housed in private collections widely around the world. Yuko is also passionate about preserving beautiful nature and the planet earth for the next generation. By donating a portion of the art sales, she contributes to nature conservation activities.",2580,,"https://a.1stdibscdn.com/yuko-montgomery-paintings-gratitude-1-2020-by-yuko-montgomery-original-oil-painting-of-snail-for-sale-picture-4/a_13082/a_152690021729358406453/htrbk6usk8umznqw53zz_master.jpg, https://a.1stdibscdn.com/yuko-montgomery-paintings-gratitude-1-2020-by-yuko-montgomery-original-oil-painting-of-snail-for-sale-picture-2/a_13082/a_152690021729358379164/vgagycpqzqawdhw4zyyb_master.jpg, https://a.1stdibscdn.com/yuko-montgomery-paintings-gratitude-1-2020-by-yuko-montgomery-original-oil-painting-of-snail-for-sale/a_13082/a_152690021729358355900/1tpy4etqnuijp9u1gnjc_master.jpg, https://a.1stdibscdn.com/yuko-montgomery-paintings-gratitude-1-2020-by-yuko-montgomery-original-oil-painting-of-snail-for-sale-picture-3/a_13082/a_152690021729358386244/ozbwkxswqx0ezlxx7v53_master.jpg, https://a.1stdibscdn.com/yuko-montgomery-paintings-gratitude-1-2020-by-yuko-montgomery-original-oil-painting-of-snail-for-sale-picture-5/a_13082/a_152690021729358413855/qatctyx8kn8e0jvklkw4_master.jpg",Yuko Montgomery,21.0,18.0,,1.0,"Oil, Wood Panel, ",Photorealist,"Created in 2020, Period: 21st Century",Excellent
15268732,"""Extravagant Coat"" (2021) By Yuko Montgomery, Original Oil Painting of Vulture","Yuko Montgomery's ""Extravagant Coat"" is an original, handmade oil painting that depicts a close up portrait of a vulture in front of a surreal landscape with an eclipse in the sky above.

Born in Chiba, Japan, Yuko was reared by parents who appreciated every aspect of art. As a child growing up in Bangladesh her creative talents began to flourish. In 2000, Yuko attended Tama Art University in Tokyo majoring in oil painting. At that time, her method of expression gradually shifted from canvas to jewelry design. As a result, Yuko launched a jewelry brand while simultaneously attending school. Her jewelry has been sold worldwide and has collaborated with popular fashion brands.

Yuko spent several years in the Netherlands and the United States and moved to Nagasaki Japan, where it’s surrounded by beautiful mountains and the blue ocean. She was deeply impressed by the majestic nature and animals there and that led her soul to start painting again.

Yuko channels her enthusiasm for the amazing characteristics of the animals formed in the process of evolution onto canvas. Employing academic oil painting techniques in the creations of her pieces, Yuko believes that oil gives life to her art because the medium ""works inquisitively as if it has its spirit"".

Her works are housed in private collections widely around the world. Yuko is also passionate about preserving beautiful nature and the planet earth for the next generation. By donating a portion of the art sales, she contributes to nature conservation activities.",3460,,"https://a.1stdibscdn.com/yuko-montgomery-paintings-extravagant-coat-2021-by-yuko-montgomery-original-oil-painting-of-vulture-for-sale-picture-2/a_13082/a_152687321729357335072/4ua6lqcuaj50f8m4qoop_master.jpg, https://a.1stdibscdn.com/yuko-montgomery-paintings-extravagant-coat-2021-by-yuko-montgomery-original-oil-painting-of-vulture-for-sale-picture-4/a_13082/a_152687321729357354372/2otieaka9h2cv4bylkpd_master.jpg, https://a.1stdibscdn.com/yuko-montgomery-paintings-extravagant-coat-2021-by-yuko-montgomery-original-oil-painting-of-vulture-for-sale-picture-3/a_13082/a_152687321729357344322/msl1b26i3qvzcmkxd3v5_master.jpg, https://a.1stdibscdn.com/yuko-montgomery-paintings-extravagant-coat-2021-by-yuko-montgomery-original-oil-painting-of-vulture-for-sale-picture-6/a_13082/a_152687321729357374328/851vmwvmh1tdyj6jl6z3_master.jpg, https://a.1stdibscdn.com/yuko-montgomery-paintings-extravagant-coat-2021-by-yuko-montgomery-original-oil-painting-of-vulture-for-sale/a_13082/a_152687321729357118050/n1rg4dblyr01e7l613x2_master.jpg, https://a.1stdibscdn.com/yuko-montgomery-paintings-extravagant-coat-2021-by-yuko-montgomery-original-oil-painting-of-vulture-for-sale-picture-5/a_13082/a_152687321729357366308/h1yc7bahzki1x5owayzr_master.jpg",Yuko Montgomery,24.0,18.0,,1.0,"Oil, Wood Panel, ",Surrealist,"Created in 2021, Period: 21st Century",Excellent
15265172,"""Noon Sky at Sand Creek"" (2022) By Harold Deist, Original Impressionist Painting","""Noon Sly at Sand Creek"" (2022) Is a beautiful impressionist landscape by contemporary painter Harold Deist, which depicts a valley on a partly cloudy day.

Harold Deist has been painting since he received his Bachelor of Fine Arts from the University of Colorado in 1976. Using oils as his primary medium, his subjects include the Colorado mountains, southwest landscapes and wildlife. Often, he travels to the Taos and Santa Fe area where he enjoys capturing the adobe homes nestled in the hills of the Sangre De Cristo mountains.

His paintings have been accepted in many juried shows including the competition for the National Arts for the Parks, The Best and the Brightest of Scottsdale Artists school, and the Wichita Small Oil Painting Exhibition. In the Art for the Parks, his work was selected for the permanent collection, and another was selected for the publicity brochures.

Mr. Deist is a continuing student of color, light and composition. Painting on sight allows him to capture accurate color and color relationships. It also keeps him in touch with the source of his work: The miraculous shades of beauty that tickle the eyes and enliven the spirit.",700,,"https://a.1stdibscdn.com/harold-deist-paintings-noon-sky-at-sand-creek-2022-by-harold-deist-original-impressionist-painting-for-sale-picture-3/a_13082/a_152651721729278802569/zat3wlcf9r22tehworbr3_master.jpg, https://a.1stdibscdn.com/harold-deist-paintings-noon-sky-at-sand-creek-2022-by-harold-deist-original-impressionist-painting-for-sale-picture-4/a_13082/a_152651721729278809523/zat3wlcf9r22tehworbr4_master.jpg, https://a.1stdibscdn.com/harold-deist-paintings-noon-sky-at-sand-creek-2022-by-harold-deist-original-impressionist-painting-for-sale-picture-2/a_13082/a_152651721729278787851/zat3wlcf9r22tehworbr2_master.jpg, https://a.1stdibscdn.com/harold-deist-paintings-noon-sky-at-sand-creek-2022-by-harold-deist-original-impressionist-painting-for-sale/a_13082/a_152651721729278736704/zat3wlcf9r22tehworbr_master.jpg",Harold Deist,14.25,17.25,,0.75,"Canvas, Oil, ",Impressionist,"Created in 2022, Period: 2010-",Excellent
15265732,"""Peony"" (2022) By Yana Beylinson, Original Oil Floral Painting","Yana Beylinson's (US based) ""Peony"" is an original, handmade still-life oil painting that depicts a close up of a bright pink peony flower.

About the artist:
Yana is driven by a deep reverence for natural botanical world. Her paintings explore the themes of spirituality and connection to the divine within us, with ﬂora as a catalyst.

An award-winning illustrator and designer, Yana has developed signature nature-centric style. She has collaborated successfully with Crabtree & Evelyn, National Geographic, Food & Wine Magazine, Chronicle Books and many others. Her work is known internationally, from Hong Kong to Mexico City, and adorns book covers, interiors, clothing and more.

Yana was born in Tashkent, Uzbekistan, and started painting in a rigorous setting from the age of 10. Since moving to New York City in 1995, she has earned her BBA in Baruch College in 1999, and has attended the School of Visual Arts and the New York Academy of Art, all in NYC.",500,,"https://a.1stdibscdn.com/yana-beylinson-paintings-peony-2022-by-yana-beylinson-original-oil-floral-painting-for-sale-picture-2/a_13082/a_152657321729283101343/mai8hrjb8588y3heskz1_master.jpg, https://a.1stdibscdn.com/yana-beylinson-paintings-peony-2022-by-yana-beylinson-original-oil-floral-painting-for-sale-picture-5/a_13082/a_152657321729283122856/q60ex7wyfdsu8y14l1oh3_master.jpg, https://a.1stdibscdn.com/yana-beylinson-paintings-peony-2022-by-yana-beylinson-original-oil-floral-painting-for-sale-picture-4/a_13082/a_152657321729283118822/q60ex7wyfdsu8y14l1oh2_master.jpg, https://a.1stdibscdn.com/yana-beylinson-paintings-peony-2022-by-yana-beylinson-original-oil-floral-painting-for-sale/a_13082/a_152657321729283093782/q60ex7wyfdsu8y14l1oh_master.jpg, https://a.1stdibscdn.com/yana-beylinson-paintings-peony-2022-by-yana-beylinson-original-oil-floral-painting-for-sale-picture-3/a_13082/a_152657321729283110542/fze32bik1fwom0cpy27g_master.jpg",Yana Beylinson,5.0,5.0,,1.75,"Canvas, Oil, ",American Impressionist,"Created in 2022, Period: 2010-",Excellent
15266492,"""The 4th of July"" (2023) By Lorenzo Chavez, Original Abstract Oil Painting","""The 4th of July"" (2023) by Lorenzo Chavez is a colorful abstract painting made with oil on panel.


About the artist:
Born, 1959
Lorenzo Chavez is a renowned fine artist specializing in pastel landscapes of the American West. Born and raised in New Mexico, Chavez draws inspiration from the local landscape and art history of his home state. After graduating with honors from the Colorado Institute of Art, Chavez settled in Colorado, using it as a base to travel and paint throughout the region. His award-winning work is featured in prestigious exhibitions and publications, as well as prestigious private and corporate collections across the U.S. and internationally. As a distinguished instructor, Chavez shares his skills in sought-after workshops.",240,,"https://a.1stdibscdn.com/lorenzo-chavez-paintings-the-4th-of-july-2023-by-lorenzo-chavez-original-abstract-oil-painting-for-sale-picture-5/a_13082/a_152664921729287923092/zwwckj3ncpm0eblnrr715_master.jpg, https://a.1stdibscdn.com/lorenzo-chavez-paintings-the-4th-of-july-2023-by-lorenzo-chavez-original-abstract-oil-painting-for-sale-picture-2/a_13082/a_152664921729287901915/zwwckj3ncpm0eblnrr712_master.jpg, https://a.1stdibscdn.com/lorenzo-chavez-paintings-the-4th-of-july-2023-by-lorenzo-chavez-original-abstract-oil-painting-for-sale-picture-3/a_13082/a_152664921729287908387/zwwckj3ncpm0eblnrr713_master.jpg, https://a.1stdibscdn.com/lorenzo-chavez-paintings-the-4th-of-july-2023-by-lorenzo-chavez-original-abstract-oil-painting-for-sale/a_13082/a_152664921729287693088/zwwckj3ncpm0eblnrr71_master.jpg, https://a.1stdibscdn.com/lorenzo-chavez-paintings-the-4th-of-july-2023-by-lorenzo-chavez-original-abstract-oil-painting-for-sale-picture-4/a_13082/a_152664921729287912922/zwwckj3ncpm0eblnrr714_master.jpg",Lorenzo Chavez,5.0,5.0,,1.0,"Oil, Panel, ",Abstract,"Created in 2023, Period: 21st Century",Excellent
15265452,"""Red Rocks"" (2023) By Harold Deist, Original Impressionist Landscape","""Red Rocks"" (2022) Is a beautiful impressionist landscape by contemporary painter Harold Deist.

Harold Deist has been painting since he received his Bachelor of Fine Arts from the University of Colorado in 1976. Using oils as his primary medium, his subjects include the Colorado mountains, southwest landscapes and wildlife. Often, he travels to the Taos and Santa Fe area where he enjoys capturing the adobe homes nestled in the hills of the Sangre De Cristo mountains.

His paintings have been accepted in many juried shows including the competition for the National Arts for the Parks, The Best and the Brightest of Scottsdale Artists school, and the Wichita Small Oil Painting Exhibition. In the Art for the Parks, his work was selected for the permanent collection, and another was selected for the publicity brochures.

Mr. Deist is a continuing student of color, light and composition. Painting on sight allows him to capture accurate color and color relationships. It also keeps him in touch with the source of his work: The miraculous shades of beauty that tickle the eyes and enliven the spirit.",900,,"https://a.1stdibscdn.com/harold-deist-paintings-red-rocks-2023-by-harold-deist-original-impressionist-landscape-for-sale/a_13082/a_152654521729281272382/leotb8fx9nneg5a75wt2_master.jpg, https://a.1stdibscdn.com/harold-deist-paintings-red-rocks-2023-by-harold-deist-original-impressionist-landscape-for-sale-picture-2/a_13082/a_152654521729281602141/leotb8fx9nneg5a75wt22_master.jpg, https://a.1stdibscdn.com/harold-deist-paintings-red-rocks-2023-by-harold-deist-original-impressionist-landscape-for-sale-picture-3/a_13082/a_152654521729281607932/leotb8fx9nneg5a75wt23_master.jpg, https://a.1stdibscdn.com/harold-deist-paintings-red-rocks-2023-by-harold-deist-original-impressionist-landscape-for-sale-picture-4/a_13082/a_152654521729281614037/leotb8fx9nneg5a75wt24_master.jpg",Harold Deist,17.25,21.25,,0.75,"Canvas, Oil, ",Impressionist,"Created in 2023, Period: 2010-",Excellent
15265402,"""Into The Wild"" (2022) By Harold Deist, Original Impressionist Landscape","""Into The Wild"" (2022) Is a beautiful impressionist landscape by contemporary painter Harold Deist, which depicts two people riding horses along a mountain path

Harold Deist has been painting since he received his Bachelor of Fine Arts from the University of Colorado in 1976. Using oils as his primary medium, his subjects include the Colorado mountains, southwest landscapes and wildlife. Often, he travels to the Taos and Santa Fe area where he enjoys capturing the adobe homes nestled in the hills of the Sangre De Cristo mountains.

His paintings have been accepted in many juried shows including the competition for the National Arts for the Parks, The Best and the Brightest of Scottsdale Artists school, and the Wichita Small Oil Painting Exhibition. In the Art for the Parks, his work was selected for the permanent collection, and another was selected for the publicity brochures.

Mr. Deist is a continuing student of color, light and composition. Painting on sight allows him to capture accurate color and color relationships. It also keeps him in touch with the source of his work: The miraculous shades of beauty that tickle the eyes and enliven the spirit.",700,,"https://a.1stdibscdn.com/harold-deist-paintings-into-the-wild-2022-by-harold-deist-original-impressionist-landscape-for-sale-picture-4/a_13082/a_152654021729280919858/bfwx69mlt20dzh3tpkm73_master.jpg, https://a.1stdibscdn.com/harold-deist-paintings-into-the-wild-2022-by-harold-deist-original-impressionist-landscape-for-sale/a_13082/a_152654021729280841301/bfwx69mlt20dzh3tpkm7_master.jpg, https://a.1stdibscdn.com/harold-deist-paintings-into-the-wild-2022-by-harold-deist-original-impressionist-landscape-for-sale-picture-2/a_13082/a_152654021729280905780/bfwx69mlt20dzh3tpkm7_master.jpg, https://a.1stdibscdn.com/harold-deist-paintings-into-the-wild-2022-by-harold-deist-original-impressionist-landscape-for-sale-picture-3/a_13082/a_152654021729280913166/bfwx69mlt20dzh3tpkm72_master.jpg",Harold Deist,18.37,15.37,,0.75,"Canvas, Oil, ",Impressionist,"Created in 2022, Period: 2010-",Excellent
15266202,"""Dawn"" (2023) By Lorenzo Chavez, Original Oil Painting of Landscape","""Dawn"" (2023) by Lorenzo Chavez is an original, handmade oil painting on panel that depicts an expressionist landscape with a colorful cloudy sunset covering the sky.


About the artist:
Born, 1959
Lorenzo Chavez is a renowned fine artist specializing in pastel landscapes of the American West. Born and raised in New Mexico, Chavez draws inspiration from the local landscape and art history of his home state. After graduating with honors from the Colorado Institute of Art, Chavez settled in Colorado, using it as a base to travel and paint throughout the region. His award-winning work is featured in prestigious exhibitions and publications, as well as prestigious private and corporate collections across the U.S. and internationally. As a distinguished instructor, Chavez shares his skills in sought-after workshops.",240,,"https://a.1stdibscdn.com/lorenzo-chavez-paintings-dawn-2023-by-lorenzo-chavez-original-oil-painting-of-landscape-for-sale-picture-5/a_13082/a_152662021729287227427/oogg0vzv20quy0prgycw5_master.jpg, https://a.1stdibscdn.com/lorenzo-chavez-paintings-dawn-2023-by-lorenzo-chavez-original-oil-painting-of-landscape-for-sale-picture-3/a_13082/a_152662021729287210122/oogg0vzv20quy0prgycw3_master.jpg, https://a.1stdibscdn.com/lorenzo-chavez-paintings-dawn-2023-by-lorenzo-chavez-original-oil-painting-of-landscape-for-sale/a_13082/a_152662021729287097492/oogg0vzv20quy0prgycw_master.jpg, https://a.1stdibscdn.com/lorenzo-chavez-paintings-dawn-2023-by-lorenzo-chavez-original-oil-painting-of-landscape-for-sale-picture-2/a_13082/a_152662021729287153731/oogg0vzv20quy0prgycw2_master.jpg, https://a.1stdibscdn.com/lorenzo-chavez-paintings-dawn-2023-by-lorenzo-chavez-original-oil-painting-of-landscape-for-sale-picture-4/a_13082/a_152662021729287219113/oogg0vzv20quy0prgycw4_master.jpg",Lorenzo Chavez,5.0,5.0,,1.0,"Oil, Panel, ",Expressionist,"Created in 2023, Period: 21st Century",Excellent
15265372,"""Chamisa in Bloom"" (2015) By Harold Deist, Original Impressionist Landscape","""Chamisa in Bloom"" (2015) Is a beautiful impressionist landscape by contemporary painter Harold Deist, which depicts a valley with bright yellow flowers during golden hour.

Harold Deist has been painting since he received his Bachelor of Fine Arts from the University of Colorado in 1976. Using oils as his primary medium, his subjects include the Colorado mountains, southwest landscapes and wildlife. Often, he travels to the Taos and Santa Fe area where he enjoys capturing the adobe homes nestled in the hills of the Sangre De Cristo mountains.

His paintings have been accepted in many juried shows including the competition for the National Arts for the Parks, The Best and the Brightest of Scottsdale Artists school, and the Wichita Small Oil Painting Exhibition. In the Art for the Parks, his work was selected for the permanent collection, and another was selected for the publicity brochures.

Mr. Deist is a continuing student of color, light and composition. Painting on sight allows him to capture accurate color and color relationships. It also keeps him in touch with the source of his work: The miraculous shades of beauty that tickle the eyes and enliven the spirit.",900,,"https://a.1stdibscdn.com/harold-deist-paintings-chamisa-in-bloom-2015-by-harold-deist-original-impressionist-landscape-for-sale/a_13082/a_152653721729280579413/9wxo44q4evr5ktg2f0o6_master.jpg, https://a.1stdibscdn.com/harold-deist-paintings-chamisa-in-bloom-2015-by-harold-deist-original-impressionist-landscape-for-sale-picture-5/a_13082/a_152653721729280626168/9wxo44q4evr5ktg2f0o65_master.jpg, https://a.1stdibscdn.com/harold-deist-paintings-chamisa-in-bloom-2015-by-harold-deist-original-impressionist-landscape-for-sale-picture-2/a_13082/a_152653721729280589870/9wxo44q4evr5ktg2f0o62_master.jpg, https://a.1stdibscdn.com/harold-deist-paintings-chamisa-in-bloom-2015-by-harold-deist-original-impressionist-landscape-for-sale-picture-3/a_13082/a_152653721729280605936/9wxo44q4evr5ktg2f0o63_master.jpg, https://a.1stdibscdn.com/harold-deist-paintings-chamisa-in-bloom-2015-by-harold-deist-original-impressionist-landscape-for-sale-picture-4/a_13082/a_152653721729280620155/9wxo44q4evr5ktg2f0o64_master.jpg",Harold Deist,20.5,16.5,,0.75,"Canvas, Oil, ",Impressionist,"Created in 2022, Period: 2010-",Excellent
