sku,title,description,price,retail_price,images,category,sub_category,brand,width,height,depth,location
11027716,Antique Victorian Era Empire Full-Sized Bed in Cherry Wood With Burled Walnut Accents,"Fine cherry wood, simple carved details, and a classic silhoutte make this antique bed an easy choice for your space. You&#x27;ll love how it looks, you&#x27;ll love how it feels sleeping in it at night.

Space for mattress width (bed): 51
Space for mattress depth (bed): 74
Bottom of side rail to ground (bed): 7

ITEM DIMENSIONS (in inches)
Width: 54.25
Depth: 78.5
Height or Length: 50

SHIPPING DIMENSIONS (in inches)
Shipping Width: 73
Shipping Depth: 12
Shipping Height or Length: 50

75 lb

Number of Items in Set: 1
Number of Separate Pieces or Parts: 4

Headboard: 3.5&quot;L by 54.25&quot;W by 50&quot;H, 31 lb
Footboard: 3.5&quot;L by 54.25&quot;W by 32.25&quot;H, 21 lb
Side Rail 01: 73&quot;L by 2&quot;W by 12.25&quot;H, 11.2 lb
Side Rail 02: 73&quot;L by 2&quot;W by 12.25&quot;H, 11.2 lb",950,,"['https://chairish-prod.freetls.fastly.net/image/product/sized/4c6b9a41-c4af-4e18-8231-6b14ba284a2e/antique-victorian-era-empire-full-sized-bed-in-cherry-wood-with-burled-walnut-accents-9052', 'https://chairish-prod.freetls.fastly.net/image/product/sized/59005e3f-44e7-4b2b-b8bf-22fd9e54b1b5/antique-victorian-era-empire-full-sized-bed-in-cherry-wood-with-burled-walnut-accents-2707', 'https://chairish-prod.freetls.fastly.net/image/product/sized/22292b6b-4819-42b2-8159-9a7a1427b1b2/antique-victorian-era-empire-full-sized-bed-in-cherry-wood-with-burled-walnut-accents-7946', 'https://chairish-prod.freetls.fastly.net/image/product/sized/1d763515-65b1-49a0-a98d-90420ebc0682/antique-victorian-era-empire-full-sized-bed-in-cherry-wood-with-burled-walnut-accents-8147', 'https://chairish-prod.freetls.fastly.net/image/product/sized/c997f31a-8f9d-489b-a28b-69228060f889/antique-victorian-era-empire-full-sized-bed-in-cherry-wood-with-burled-walnut-accents-4030', 'https://chairish-prod.freetls.fastly.net/image/product/sized/78111148-9823-408a-a02f-b97f31f29eb9/antique-victorian-era-empire-full-sized-bed-in-cherry-wood-with-burled-walnut-accents-4345', 'https://chairish-prod.freetls.fastly.net/image/product/sized/b755ab83-9296-4128-aba0-552cc2aa71eb/antique-victorian-era-empire-full-sized-bed-in-cherry-wood-with-burled-walnut-accents-2859', 'https://chairish-prod.freetls.fastly.net/image/product/sized/4c6b9a41-c4af-4e18-8231-6b14ba284a2e/antique-victorian-era-empire-full-sized-bed-in-cherry-wood-with-burled-walnut-accents-9052']",Furniture,Beds,,54,50,78,"Richmond, CA"
11034151,Vintage Scallop Corner Zebra Striped Rolling Ottoman,"This zebra striped ottoman is EVERYTHING.  We just love the scallop effect that the corners give, and if your style is on the bold side, then this zebra fabric is absolutely perfect for you.  If not, it&#x27;s certainly a wonderful piece to have reupholstered in a fabric of your choice.

ITEM DIMENSIONS (in inches)
Width:  47.75
Depth:  23
Height or Length:  18.75

SHIPPING DIMENSIONS (in inches)
Shipping Width:  47.75
Shipping Depth:  23
Shipping Height or Length:  18.75

45.8 lb

Number of Items in Set:  1
Number of Separate Pieces or Parts:  1",435,,"['https://chairish-prod.freetls.fastly.net/image/product/sized/2e01f137-ff9c-482f-a85f-0f0774fbae4d/vintage-scallop-corner-zebra-striped-rolling-ottoman-9247', 'https://chairish-prod.freetls.fastly.net/image/product/sized/90298af0-d7ea-4d42-aae7-cb60a253e126/vintage-scallop-corner-zebra-striped-rolling-ottoman-3837', 'https://chairish-prod.freetls.fastly.net/image/product/sized/b83434aa-666f-49dd-80c5-e950a86b8e27/vintage-scallop-corner-zebra-striped-rolling-ottoman-6420', 'https://chairish-prod.freetls.fastly.net/image/product/sized/6966a03f-54cd-4cce-bbb8-9a87e239253e/vintage-scallop-corner-zebra-striped-rolling-ottoman-1560', 'https://chairish-prod.freetls.fastly.net/image/product/sized/c08f8d33-9f2c-4015-a1db-11991a2cced3/vintage-scallop-corner-zebra-striped-rolling-ottoman-7580', 'https://chairish-prod.freetls.fastly.net/image/product/sized/7841ef4b-5414-4e5e-9580-12379b13577f/vintage-scallop-corner-zebra-striped-rolling-ottoman-8812', 'https://chairish-prod.freetls.fastly.net/image/product/sized/00833615-2d3d-4c4b-8947-7cdfefdd3bbe/vintage-scallop-corner-zebra-striped-rolling-ottoman-8427', 'https://chairish-prod.freetls.fastly.net/image/product/sized/91f9b54e-2fdd-450d-9e35-b91cab9d1de9/vintage-scallop-corner-zebra-striped-rolling-ottoman-7641', 'https://chairish-prod.freetls.fastly.net/image/product/sized/f549c41f-f954-4aa0-807b-1d4861c7b7fa/vintage-scallop-corner-zebra-striped-rolling-ottoman-4146', 'https://chairish-prod.freetls.fastly.net/image/product/sized/2e01f137-ff9c-482f-a85f-0f0774fbae4d/vintage-scallop-corner-zebra-striped-rolling-ottoman-9247']",Furniture,Seating,,47,18,23,"Richmond, CA"
12607176,Vintage Mid-Century Modern Danish Modern Style Rolling Modular File Cabinet,"This beautifully simple Danish Modern style rolling file cabinet in teak wood features lovely sculptural handles, a gorgeous bright wood tone with orange undertones, and very handy wheeled base to make it optimally modular for however you need to use it. Tuck it under a desk return when not in use, and roll it right over to where you need it to be, all while being inconspicuously stylish.

Number of drawers (casepiece): 2
Number of shelves (casepiece):

ITEM DIMENSIONS (in inches)
Width: 17.75
Depth: 17.5
Height or Length: 26

SHIPPING DIMENSIONS (in inches)
Shipping Width: 17.75
Shipping Depth: 17.5
Shipping Height or Length: 26

54 lb

Number of Items in Set: 1
Number of Separate Pieces or Parts: 1",350,,"['https://chairish-prod.freetls.fastly.net/image/product/sized/33bf6d7e-a19d-4ffa-bb8c-d983693c16e5/vintage-mid-century-modern-danish-modern-style-rolling-modular-file-cabinet-1664', 'https://chairish-prod.freetls.fastly.net/image/product/sized/cc810c7b-4067-45c7-8a86-52645f5b1eb7/vintage-mid-century-modern-danish-modern-style-rolling-modular-file-cabinet-4342', 'https://chairish-prod.freetls.fastly.net/image/product/sized/26278cbe-45b2-41b9-ab1a-0bcbe653d328/vintage-mid-century-modern-danish-modern-style-rolling-modular-file-cabinet-3425', 'https://chairish-prod.freetls.fastly.net/image/product/sized/4dc0c401-46e5-4d08-875a-feeee2d7a876/vintage-mid-century-modern-danish-modern-style-rolling-modular-file-cabinet-6928', 'https://chairish-prod.freetls.fastly.net/image/product/sized/8a605a9d-590b-4927-95cb-e05ae861e485/vintage-mid-century-modern-danish-modern-style-rolling-modular-file-cabinet-8467', 'https://chairish-prod.freetls.fastly.net/image/product/sized/33bf6d7e-a19d-4ffa-bb8c-d983693c16e5/vintage-mid-century-modern-danish-modern-style-rolling-modular-file-cabinet-1664']",Furniture,Casegoods & Storage,,17,26,17,"Richmond, CA"
12607181,Vintage French Provincial Twin Sized Beds in Cream White and Gold - a Pair,"These elegant and feminine twin bedframes are the ultimate for your princes&#x27; or princess&#x27; bedroom. With elements of both softness and bold glamour, you&#x27;ll love the nostalgic feeling you&#x27;ll get everytime you walk into the room and see them.

Space for mattress width (bed): 39.2
Space for mattress depth (bed): 76
Bottom of side rail to ground (bed): 8
ITEM DIMENSIONS (in inches)
Width: 42
Depth: 80
Height or Length: 75

SHIPPING DIMENSIONS (in inches)
Shipping Width: 78.3
Shipping Depth: 14
Shipping Height or Length: 75

84 lb

Number of Items in Set: 2
Number of Separate Pieces or Parts: 8

Headboards: 2.25&quot;L by 42&quot;W by 75&quot;H, 16 lb
Footboards: 2.5&quot;L by 42&quot;W by 44.75&quot;H, 8 lb
Side Rails: 78.3&quot;L by 1.75&quot;W by 5.65&quot;H, 9 lb",1150,,"['https://chairish-prod.freetls.fastly.net/image/product/sized/7514e1ac-71ca-461e-b9cd-cce8c8d4b41c/vintage-french-provincial-twin-sized-beds-in-cream-white-and-gold-a-pair-5253', 'https://chairish-prod.freetls.fastly.net/image/product/sized/88c7b988-6a40-4ee5-8f11-5a9ca140f875/vintage-french-provincial-twin-sized-beds-in-cream-white-and-gold-a-pair-6063', 'https://chairish-prod.freetls.fastly.net/image/product/sized/33cd7aa4-ca6f-4bf2-a0ce-00f2e09c050b/vintage-french-provincial-twin-sized-beds-in-cream-white-and-gold-a-pair-3123', 'https://chairish-prod.freetls.fastly.net/image/product/sized/c599a4e5-c217-48af-b887-92b77e46abea/vintage-french-provincial-twin-sized-beds-in-cream-white-and-gold-a-pair-8674', 'https://chairish-prod.freetls.fastly.net/image/product/sized/6eede5ad-636d-4415-81f0-39a60035eb6d/vintage-french-provincial-twin-sized-beds-in-cream-white-and-gold-a-pair-8620', 'https://chairish-prod.freetls.fastly.net/image/product/sized/2804b70e-a1bb-481d-b696-0d0e15586ede/vintage-french-provincial-twin-sized-beds-in-cream-white-and-gold-a-pair-1208', 'https://chairish-prod.freetls.fastly.net/image/product/sized/7514e1ac-71ca-461e-b9cd-cce8c8d4b41c/vintage-french-provincial-twin-sized-beds-in-cream-white-and-gold-a-pair-5253']",Furniture,Beds,,42,75,80,"Richmond, CA"
2734721,Vintage Postmodern Industrial White Metal and Glass Side Table,"This chubby tubular side table in off white powder coated metal and glass is equally at home in a sleek downtown converted factory loft or a plush, comfortable suburban home. There are so many ways to style this piece you will not be disappointed with its versatility.",350,450,"['https://chairish-prod.freetls.fastly.net/image/product/sized/49505636-ce8a-4b50-8f14-c93296f43001/vintage-postmodern-industrial-white-metal-and-glass-side-table-6843', 'https://chairish-prod.freetls.fastly.net/image/product/sized/bff78769-ae0c-4395-95f9-78046df9ded0/vintage-postmodern-industrial-white-metal-and-glass-side-table-3672', 'https://chairish-prod.freetls.fastly.net/image/product/sized/3c3b5762-4868-43e4-a636-50ce6cede158/vintage-postmodern-industrial-white-metal-and-glass-side-table-1332', 'https://chairish-prod.freetls.fastly.net/image/product/sized/01111d11-37e4-47a1-8bdb-e25276346810/vintage-postmodern-industrial-white-metal-and-glass-side-table-3254', 'https://chairish-prod.freetls.fastly.net/image/product/sized/fea7506e-7210-46c3-9d39-c42c71e09f1a/vintage-postmodern-industrial-white-metal-and-glass-side-table-4672', 'https://chairish-prod.freetls.fastly.net/image/product/sized/49505636-ce8a-4b50-8f14-c93296f43001/vintage-postmodern-industrial-white-metal-and-glass-side-table-6843']",Furniture,Tables,,24,16,24,"Richmond, CA"
2676338,1980s Brass Plate and Onyx Banker's Piano Lamp,"Light up your work with this class act of a classic desk lamp, otherwise known as a piano lamp or a banker&#x27;s lamp.  Beautifully shined brass plated body with a lovely addition of some black onyx combine in an attractively shaped lamp and make this piece look classy and expensive in the best way.  

Please note that dimensions in the listing template reflect the lamp stretched up to it&#x27;s tallest setting and the lamp pulled back down to it&#x27;s deepest.  In other words it is not 21 inches high at the same setting that it is 14 inches deep.  Please see dimensions mentioned below and ask for clarification if this explanation is unclear.

21 tall at tallest
14 deep at deepest
6 wide
13 inches tall at reasonable normal setting on this lamp",165,,"['https://chairish-prod.freetls.fastly.net/image/product/sized/d695b74a-8f18-4144-9288-8b0a5a5b8a60/1980s-brass-plate-and-onyx-bankers-piano-lamp-0252', 'https://chairish-prod.freetls.fastly.net/image/product/sized/0900d9a7-2609-4ff1-8665-ee41d0d19473/1980s-brass-plate-and-onyx-bankers-piano-lamp-9114', 'https://chairish-prod.freetls.fastly.net/image/product/sized/d052b113-3069-48cc-a021-5a86b351b2b8/1980s-brass-plate-and-onyx-bankers-piano-lamp-6467', 'https://chairish-prod.freetls.fastly.net/image/product/sized/56b47862-1cef-4b20-911f-e373faea0fe0/1980s-brass-plate-and-onyx-bankers-piano-lamp-4710', 'https://chairish-prod.freetls.fastly.net/image/product/sized/de7c884d-d00e-49a4-8d68-c6ed9d7a58f1/1980s-brass-plate-and-onyx-bankers-piano-lamp-1769', 'https://chairish-prod.freetls.fastly.net/image/product/sized/22ecdba0-0c25-443d-9d22-4ea26f261e90/1980s-brass-plate-and-onyx-bankers-piano-lamp-6187', 'https://chairish-prod.freetls.fastly.net/image/product/sized/247550aa-c8af-4714-9900-cf9d16fcdf50/1980s-brass-plate-and-onyx-bankers-piano-lamp-1969', 'https://chairish-prod.freetls.fastly.net/image/product/sized/50f5a4a0-2a8c-4fab-875f-fd63b5308b7c/1980s-brass-plate-and-onyx-bankers-piano-lamp-8281', 'https://chairish-prod.freetls.fastly.net/image/product/sized/6077715a-9a14-42c6-bf3f-af33f009e5e5/1980s-brass-plate-and-onyx-bankers-piano-lamp-1397', 'https://chairish-prod.freetls.fastly.net/image/product/sized/d695b74a-8f18-4144-9288-8b0a5a5b8a60/1980s-brass-plate-and-onyx-bankers-piano-lamp-0252']",Lighting,Lamps,,6,21,14,"Richmond, CA"
2818358,Cobalt Blue Wine Globe Goblets - a Pair,"Lovely voluminous wine goblets with large cups provide plenty of space for your wine to breathe properly. In a beautiful shade of blue that can fit with either cobalt or look great with a classic navy, these wine goblets are the perfect pair for your intimate evening relaxation with that special someone.",95,,"['https://chairish-prod.freetls.fastly.net/image/product/sized/27270d2f-f4ed-4400-8348-a8bd8c26a90f/cobalt-blue-wine-globe-goblets-a-pair-0675', 'https://chairish-prod.freetls.fastly.net/image/product/sized/f1780bb4-e6ac-4347-9420-24844e3f2157/cobalt-blue-wine-globe-goblets-a-pair-1537', 'https://chairish-prod.freetls.fastly.net/image/product/sized/af247e69-fcd0-4618-b1b4-3c46184ce87e/cobalt-blue-wine-globe-goblets-a-pair-9274', 'https://chairish-prod.freetls.fastly.net/image/product/sized/1ab38975-b533-46ff-b08f-9fd18bf5db83/cobalt-blue-wine-globe-goblets-a-pair-6017', 'https://chairish-prod.freetls.fastly.net/image/product/sized/27270d2f-f4ed-4400-8348-a8bd8c26a90f/cobalt-blue-wine-globe-goblets-a-pair-0675']",Tableware & Barware,Glasses,,4,8,4,"Richmond, CA"
4185547,Vintage Postmodern Lane White Lacquered Nightstand,"Substantial presence with beautiful white lacquered finish, angular drawer edges, and overall killer postmodern vibes make this nightstand a must have.  It&#x27;s an easy fit with many a sleek modern theme, and you&#x27;ll just love the way it looks for many years to come.  If still available, check out the matching queen headboard we have in our inventory.  You&#x27;ll love how they look as the perfect pair.  And for some extra postmodern panache, squad this pair up with our gorgeous Steve Leal lithograph.  There you go.  Bedroom, check!

WEIGHT: 96 lbs",675,,"['https://chairish-prod.freetls.fastly.net/image/product/sized/7fb6d86b-f0a6-46a3-b6b6-d600f38af23d/vintage-postmodern-lane-white-lacquered-nightstand-9331', 'https://chairish-prod.freetls.fastly.net/image/product/sized/df27dd40-3d37-4319-8ea2-6939106fbd2e/vintage-postmodern-lane-white-lacquered-nightstand-2231', 'https://chairish-prod.freetls.fastly.net/image/product/sized/58f08bfd-8c3e-4e84-9b0f-59611ea3d18d/vintage-postmodern-lane-white-lacquered-nightstand-2973', 'https://chairish-prod.freetls.fastly.net/image/product/sized/2008e971-bb7d-4132-ae48-00dd94c33e1b/vintage-postmodern-lane-white-lacquered-nightstand-3397', 'https://chairish-prod.freetls.fastly.net/image/product/sized/d2475e25-6a3d-4f67-86a4-abac7335dba6/vintage-postmodern-lane-white-lacquered-nightstand-0323', 'https://chairish-prod.freetls.fastly.net/image/product/sized/2b1d6389-13c3-4364-a6ea-f852fc8008f8/vintage-postmodern-lane-white-lacquered-nightstand-1727', 'https://chairish-prod.freetls.fastly.net/image/product/sized/285f1e15-b7ee-4789-9c57-0e350efab72d/vintage-postmodern-lane-white-lacquered-nightstand-4421', 'https://chairish-prod.freetls.fastly.net/image/product/sized/7fb6d86b-f0a6-46a3-b6b6-d600f38af23d/vintage-postmodern-lane-white-lacquered-nightstand-9331']",Furniture,Casegoods & Storage,Lane Furniture,24,30,18,"Richmond, CA"
4912404,Vintage Coastal Boho Chic Magazine Log Holder Basket,"Whether your style is organic modern, coastal, or boho chic, this lovely little bamboo basket is sure to compliment your current decor. Use it for blankets, magazines, or even for some small logs for the fire. It&#x27;s sure to add stylish storage whatever you decide to use it for.",135,,"['https://chairish-prod.freetls.fastly.net/image/product/sized/a3b5b61d-487b-4c18-9de9-9288d5cebad0/vintage-coastal-boho-chic-magazine-log-holder-basket-4116', 'https://chairish-prod.freetls.fastly.net/image/product/sized/c5e88ade-689c-4c7a-9a66-922057388345/vintage-coastal-boho-chic-magazine-log-holder-basket-4630', 'https://chairish-prod.freetls.fastly.net/image/product/sized/3d4e6dad-fdfa-4794-b25a-f4ce3c482c44/vintage-coastal-boho-chic-magazine-log-holder-basket-7102', 'https://chairish-prod.freetls.fastly.net/image/product/sized/47fce306-1bad-4d09-9f53-e36a5ea305ce/vintage-coastal-boho-chic-magazine-log-holder-basket-4228', 'https://chairish-prod.freetls.fastly.net/image/product/sized/63d423f4-6a61-496f-bc8a-954e4fde2a20/vintage-coastal-boho-chic-magazine-log-holder-basket-8417', 'https://chairish-prod.freetls.fastly.net/image/product/sized/6956772c-b55a-43b0-a949-65f0885f43bf/vintage-coastal-boho-chic-magazine-log-holder-basket-5429', 'https://chairish-prod.freetls.fastly.net/image/product/sized/5cabba0c-e172-40a5-90fc-7f153699aedb/vintage-coastal-boho-chic-magazine-log-holder-basket-2468', 'https://chairish-prod.freetls.fastly.net/image/product/sized/27fe2992-c93f-4f66-abda-e8b8ba597f0b/vintage-coastal-boho-chic-magazine-log-holder-basket-3820', 'https://chairish-prod.freetls.fastly.net/image/product/sized/851b45cd-f861-4b6b-94bf-75beabfe3fae/vintage-coastal-boho-chic-magazine-log-holder-basket-2522', 'https://chairish-prod.freetls.fastly.net/image/product/sized/c55fa400-f4e6-46c5-94a0-2606e356b1fd/vintage-coastal-boho-chic-magazine-log-holder-basket-5792', 'https://chairish-prod.freetls.fastly.net/image/product/sized/a3b5b61d-487b-4c18-9de9-9288d5cebad0/vintage-coastal-boho-chic-magazine-log-holder-basket-4116']",Decor,Organization Accessories,,16,19,12,"Richmond, CA"
4881554,Chinoiserie Coastal Boho Chic Lidded Basket,"You&#x27;ll love the tasteful elegance the springs to your space with its tightly woven wicker and beautiful shapely form. Really, how else would you want to store your things now that you&#x27;ve seen this stylish basket?

50 oz",135,,"['https://chairish-prod.freetls.fastly.net/image/product/sized/10a42879-4720-45e3-b04a-68f3cf583ac4/chinoiserie-coastal-boho-chic-lidded-basket-8785', 'https://chairish-prod.freetls.fastly.net/image/product/sized/8735eb6d-7e0e-4a38-9362-3a94dd59eef7/chinoiserie-coastal-boho-chic-lidded-basket-0484', 'https://chairish-prod.freetls.fastly.net/image/product/sized/3278ae2c-eed3-473b-a66b-3107e3390508/chinoiserie-coastal-boho-chic-lidded-basket-9512', 'https://chairish-prod.freetls.fastly.net/image/product/sized/2f3704a8-8c0a-4117-9360-071e59248960/chinoiserie-coastal-boho-chic-lidded-basket-2449', 'https://chairish-prod.freetls.fastly.net/image/product/sized/370eeca7-8d86-476b-9854-c414a5ffa65b/chinoiserie-coastal-boho-chic-lidded-basket-7048', 'https://chairish-prod.freetls.fastly.net/image/product/sized/759ff166-8a3c-456e-bef1-8c2f1fcec7f8/chinoiserie-coastal-boho-chic-lidded-basket-8296', 'https://chairish-prod.freetls.fastly.net/image/product/sized/3068d67a-9429-4e9d-b0dc-5684949389e6/chinoiserie-coastal-boho-chic-lidded-basket-6398', 'https://chairish-prod.freetls.fastly.net/image/product/sized/81f5f46b-155d-402a-905c-c8aed035e62c/chinoiserie-coastal-boho-chic-lidded-basket-3732', 'https://chairish-prod.freetls.fastly.net/image/product/sized/ebcbe8f3-e3e0-4bfe-a122-4e2746ddc310/chinoiserie-coastal-boho-chic-lidded-basket-3319', 'https://chairish-prod.freetls.fastly.net/image/product/sized/10a42879-4720-45e3-b04a-68f3cf583ac4/chinoiserie-coastal-boho-chic-lidded-basket-8785']",Decor,Organization Accessories,,21,13,11,"Richmond, CA"
