title,sku,price,retail_price,description,width,depth,height,tags,images
Article Embrace Moss Green Chair,SQ0778256,600.0,899.0,"Exuding contemporary elegance and functional design, the Article Embrace Moss Green Chair presents a refined seating option for design aficionados and interior decorators alike. Its sleek silhouette and inviting moss green upholstery effortlessly blends modern style with timeless comfort, making it a versatile addition to upscale interiors. The chair's understated yet sophisticated aesthetic allows it to seamlessly integrate into a variety of design schemes, from minimalist chic to eclectic luxe. Its sturdy construction and ergonomic design cater to both residential and commercial spaces, ensuring durability without compromising on visual appeal. The moss green color adds a refreshing natural element to any room, providing a serene backdrop for curated decor arrangements or standalone statement pieces. With the Embrace Moss Green Chair, clients can elevate their spaces with a touch of contemporary flair and luxurious comfort, reflecting their discerning taste and appreciation for refined aesthetics in every detail.FREE SHIPPING to Anywhere in the US 48 States.",30,29,32,"article, embrace, moss, green, chair","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711056621012-J444UWA71G0BS5GRCWP7/Article++Embrace+Moss+Green+Chair+3.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711056621801-C0UXFGHB2AMH1WAF69GP/Article++Embrace+Moss+Green+Chair+2.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711056620078-QQMIGVKY3D02YLWI6KVW/Article++Embrace+Moss+Green+Chair+4.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711056618635-IQ5C5FS553R3F3TAS4HP/Article++Embrace+Moss+Green+Chair.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711056698993-7FDQKK9H5195JOKDFKVC/Article++Embrace+Moss+Green+Chair+%281%29.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711056625291-L9JPFUBMFD9P8HQ8V0QP/Article++Embrace+Moss+Green+Chair+5.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711056624570-A7XZG22JRWBW9W8RWEWJ/Article++Embrace+Moss+Green+Chair+6.jpg"
Large Mecox Floor Mirror,SQ5602587,2495.0,4300.0,,84.5,1.5,52,"large, mecox, floor-mirror, mirror","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711129939836-5D5HY55CUW279IIXGS0E/Large+Mecox+Floor+Mirror+%283%29.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711123586042-T4EX8WNDCS33SM05D5YK/Large+Mecox+Floor+Mirror+%281%29-min.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711123586026-8ICUCFKU5VUI2ECUD1E8/Large+Mecox+Floor+Mirror+%282%29-min.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711203016308-HDICO53AG4GNYSYORO3R/white-IMG-8778.JPG"
French Victor Desk Designed by Harto & Pierre-Francois Dubois,21076,1695.0,2026.0,"Introducing the French Victor Desk, a harmonious collaboration between Harto and Pierre-Francois Dubois that embodies timeless elegance and functional design. Crafted with meticulous attention to detail, this desk features clean lines, refined proportions, and premium materials, making it a standout piece in any designer workspace or sophisticated office environment. The solid wood construction exudes warmth and authenticity, while the sleek design elements, such as integrated storage drawers and elegant tapered legs, offer both style and practicality. Whether placed in a chic studio, a modern office, or an upscale home, the French Victor Desk effortlessly blends classic French aesthetics with contemporary functionality, appealing to the discerning tastes of designers and decorators. Elevate your workspace with this iconic desk that combines exquisite craftsmanship with refined sophistication, setting the stage for creativity and productivity in style.FREE SHIPPING to Anywhere in the US 48 States",39.5,24,32.5,"french, victor, desk, harto, pierre-francois, dubois, table","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711114819688-7W670XW8ZD50OWAMBW18/French+Victor+Desk+Designed+by+Harto+%26+Pierre-Francois+Dubois.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711122427988-45J2MYJ23Q3SFNMDQKQD/white-French+Victor+Desk+Designed+by+Harto+%26+Pierre-Francois+Dubois+%285%29.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711122427417-0T4J5Z05JJCD1SWEATO7/white-French+Victor+Desk+Designed+by+Harto+%26+Pierre-Francois+Dubois+%281%29.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711122428352-8RESD8WSXS0ILMW4D4PP/white-French+Victor+Desk+Designed+by+Harto+%26+Pierre-Francois+Dubois+%283%29.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711122427418-WM7J2AYSN7RHZJVQOAQI/white-French+Victor+Desk+Designed+by+Harto+%26+Pierre-Francois+Dubois+%282%29.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711122427986-KTN7X9URPSK7WEQU04KS/white-French+Victor+Desk+Designed+by+Harto+%26+Pierre-Francois+Dubois+%286%29.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711122428535-XBA3AHLTHTXF4UL3DV17/white-French+Victor+Desk+Designed+by+Harto+%26+Pierre-Francois+Dubois+%284%29.JPG"
Edward Fields Shag Carpet (10 ft 7 in x 10 ft 7 in),SQ2886727,4295.0,9100.0,"Indulge in the tactile luxury of the Edward Fields Shag Carpet, a statement piece that embodies the pinnacle of textural sophistication. Renowned for its sumptuous pile and impeccable quality, this shag carpet is a testament to the brand's legacy in artisanal craftsmanship. The rich dark gray hue offers a contemporary edge, providing a versatile and elegant backdrop that complements an array of design styles. This carpet is not only a feast for the senses but also a versatile anchor for bold and nuanced interior narratives, ensuring that each design space is imbued with a sense of depth and refined comfort. Ideal for creating an inviting atmosphere, the Edward Fields shag is the perfect addition to any designer’s vision for luxurious, livable spaces.FREE SHIPPING to Anywhere in the US 48 States",127,127,,"edward-fields, shag, carpet","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1701883220299-F2ZV6WY9M3WOGJ8B6V9T/Edward+Fields+Shag+Carpet+2.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1701883221064-HPP6HPU8KFHRR2S5O97L/Edward+Fields+Shag+Carpet+3.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1701883221633-WS22NZQCD2ZWXGTNUM8Z/Edward+Fields+Shag+Carpet.jpg"
Pair of Blu Dot Dibs Armchairs,21072,695.0,1100.0,"Crafted with impeccable style and modern sophistication, the Pair of Blu Dot Dibs Armchairs is a testament to contemporary design excellence. These armchairs by Blu Dot are meticulously designed to elevate the ambiance of any space with their sleek and minimalist aesthetics, making them a coveted choice among designers and decorators. The clean lines and chic silhouette of these armchairs seamlessly blend functionality with elegance, making them ideal for both residential and commercial settings. Whether placed in a trendy living room, a sophisticated office lounge, or a boutique hotel lobby, these armchairs exude versatility and charm. Elevate your interior design projects with the Pair of Blu Dot Dibs Armchairs, captivating clients and readers alike with their contemporary allure and exceptional craftsmanship.FREE SHIPPING to Anywhere in the US 48 States",21,20,30,"pair, blu-dot, dibs, armchair, chair, seating","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711121309079-74HH43D70C5CWGRX1PKM/Pair+of+Blu+Dot+Dibs+Armchairs.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711042600536-B442ZCA63E8K94IECIIL/white-Pair+of+Blu+Dot+Dibs+Armchairs+%282%29-min.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711042493677-JC0KYUKJHQ7VIP70UVGD/Pair+of+Blu+Dot+Dibs+Armchairs+%281%29-min.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711042494903-PBXT6JE5JW7KC147QVEC/Pair+of+Blu+Dot+Dibs+Armchairs+%286%29-min.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711042494909-9XRYHC2SHP1WISYZE2NQ/Pair+of+Blu+Dot+Dibs+Armchairs+%283%29-min.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711042494760-9AOQFXGPX0OSA7XWFX11/Pair+of+Blu+Dot+Dibs+Armchairs+%285%29-min.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711042492819-KIWXE7FS3NJFGZBVS0ML/Pair+of+Blu+Dot+Dibs+Armchairs-min.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711042495088-09A2ARSEN32O2G9RB193/Pair+of+Blu+Dot+Dibs+Armchairs+%287%29-min.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711042495102-S367VTCNFUWDNG8XYE27/Pair+of+Blu+Dot+Dibs+Armchairs+%284%29-min.JPG"
Antique Gilt Mirror C1920s,SQ4477741,1595.0,2800.0,"Delve into the timeless elegance of this Antique Gilt Mirror from the 1920s, a coveted piece for discerning designers and decorators aiming to infuse spaces with a touch of vintage opulence. Crafted during the illustrious Art Deco period, this mirror boasts a magnificent gilt frame adorned with intricate detailing and a rich patina that tells a story of luxury and refinement. Whether adorning a chic boutique, enriching a sophisticated living room, or adding glamour to a lavish bedroom, this mirror serves as a statement piece that effortlessly elevates any interior. Its vintage charm and historical significance make it an ideal choice for design projects seeking to blend classic sophistication with modern flair, captivating the attention and appreciation of clients and visitors alike. Embrace the allure of the 1920s with this exceptional antique gilt mirror, a timeless symbol of exquisite craftsmanship and enduring style.FREE SHIPPING to Anywhere in the US 48 States.",43.5,2.5,55,"antique, gilt, mirror, c1920s, decor","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1710438701998-LG8PC5NLSIWHUWZ5HZX3/Antique+Gilt+Mirror+C1920s.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1710438664194-YX4NSXS3Q54ILJFTICGW/Original+Prudence+Wittlesey+Watercolor+Painting-min.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1710438664564-XY7OKRFUDZ3TR87118SX/Original+Prudence+Wittlesey+Watercolor+Painting+%285%29-min.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1710438664207-3FLW19SIJCBH15SLO9MH/Original+Prudence+Wittlesey+Watercolor+Painting+%284%29-min.JPG"
"Villa & House Dakota Round Coffee Table 30""",21074,1300.0,1771.0,"The Villa & House Dakota Round Coffee Table 30"" exudes timeless elegance and versatility, making it a must-have piece for designers and decorators alike. Crafted with meticulous attention to detail, this coffee table features a sleek and minimalist design that complements a variety of interior styles, from contemporary to traditional. The 30"" round tabletop provides ample space for styling with decorative accents, books, and beverages, making it a functional yet stylish addition to any living room or lounge area. The high-quality construction ensures durability and longevity, while the choice of finishes allows for seamless integration into different design aesthetics. Whether used as a focal point in a modern space or as a complement to classic decor, the Villa & House Dakota Coffee Table brings sophistication and practicality to every design project, captivating clients and readers with its understated charm and impeccable craftsmanship.FREE SHIPPING to Anywhere in the US 48 States",30,30,14,"villa-house, dakota, round, coffee-table, table","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711121086427-ZXZ5200NMG63YBUVE4L2/Villa+%26+House+Dakota+Round+Coffee+Table+30inches.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711037130238-8BCWKG4FR4GTIX2HZSH7/white-Villa+%26+House+Dakota+Round+Coffee+Table+30inches+%283%29.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711037130614-KQBIQXAK7P1HM985ZB6M/white-Villa+%26+House+Dakota+Round+Coffee+Table+30inches.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711037129866-6NMCW5LL9MFYPLNV1364/white-Villa+%26+House+Dakota+Round+Coffee+Table+30inches+%281%29.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711037129865-84534GELL2YFDK4UYBXK/white-Villa+%26+House+Dakota+Round+Coffee+Table+30inches+%282%29.JPG"
ABC Carpet and Home Modern Velvet Sofa,SQ3632727,1695.0,3500.0,"*** Minor rip on the back of the sofaABC Carpet and Home's Modern Velvet Sofa in a sleek black hue embodies contemporary elegance and luxury, making it a coveted centerpiece for sophisticated interiors. Crafted with meticulous attention to detail, this sofa seamlessly blends modern aesthetics with timeless comfort, offering designers and decorators a versatile canvas to create stunning living spaces. The sumptuous velvet upholstery not only adds a touch of opulence but also provides a tactile experience that complements various design styles, from minimalist chic to opulent glam. The tailored silhouette of this sofa exudes understated glamour, making it a perfect choice for discerning clients seeking both style and substance in their home furnishings. Elevate your design projects with the unmatched allure and craftsmanship of ABC Carpet and Home's Modern Velvet Sofa, an epitome of contemporary luxury and refinement.FREE SHIPPING to Anywhere in the US 48 States",96,41,21,"abc, carpet-and-home, modern, velvet, sofa, seating","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1710513926338-ZFPS2YP0C5ECZACDJP1X/ABC+Carpet+and+Home+Modern+Velvet+Sofa+2.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1710513925984-EQRCMV7291VGPJ73JM2D/ABC+Carpet+and+Home+Modern+Velvet+Sofa.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711034522046-D0DDY00765OISXLDBXF5/white-IMG_9694.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711034522244-Y004A7I51SH39L5C84WS/white-IMG_9693.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711034521085-DJMKYAO1EVVPZZWH6H8W/white-IMG_9659.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711034521294-9I4DP5340QMTPAR4FP9O/white-IMG_9570.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711034522236-40AEU6Y8C5HZZQYUSW8V/white-IMG_9691.JPG"
CB2 Fullerton Modular Desk,21081,1500.0,2500.0,"The CB2 Fullerton Modular Desk is a versatile and functional addition to any designer or decorator's workspace. With its modern design and modular capabilities, this desk offers flexibility and customization to suit various layout preferences and space constraints. Crafted with high-quality materials, the Fullerton Desk features clean lines, a sleek profile, and durable construction, ensuring both style and longevity. Its modular design allows for easy integration of additional components such as storage units or extensions, making it ideal for creating efficient and organized work areas. Whether used in a home office, creative studio, or collaborative workspace, the CB2 Fullerton Modular Desk combines practicality with contemporary aesthetics, appealing to design-conscious clients and readers seeking innovative solutions for their interior projects. Elevate your workspace with this versatile and stylish desk that embodies modern functionality and design excellence.FREE SHIPPING to Anywhere in the US 48 States",57,24,30,"cb2, fullerton, modular, desk, table","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711113822578-9H42XD8Q8FCK3R0LPS1P/CB2+Fullerton+Modular+Desk.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711122895352-53GRD7BTZMGOFQC1JV4W/white-CB2+Fullerton+Modular+Desk+%287%29.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711122896227-UQJJY5CC3GI89PREFIAR/white-CB2+Fullerton+Modular+Desk+%284%29.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711122896264-VDS455S0H48M3I3BLEFD/white-CB2+Fullerton+Modular+Desk+%281%29.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711122895872-OTW2LZI9N8DOHS39681Q/white-CB2+Fullerton+Modular+Desk+%285%29.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711122895907-KAQXH2IRODQMCJNGENCJ/white-CB2+Fullerton+Modular+Desk+%286%29.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711122895887-UEIGIXEDN27P2EOTDFS8/white-CB2+Fullerton+Modular+Desk+%283%29.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711122895900-LAZC7J8OUV2SUK6RBPK5/white-CB2+Fullerton+Modular+Desk+%282%29.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711122895870-7QRY69GZNU2JJFTUW7LS/white-CB2+Fullerton+Modular+Desk+tag.JPG"
Surya Modern Carpet (9 ft 1 in x 12 ft 11 in),21085,1695.0,2800.0,"Experience the contemporary elegance of Surya's Modern Carpets, an essential choice for designers and decorators alike. These meticulously crafted carpets feature cutting-edge designs and luxurious textures that effortlessly enhance any interior space. Surya's Modern Carpets offer endless possibilities to create unique and visually stunning environments. Designed for durability and style, each carpet seamlessly blends functionality with timeless sophistication, making them ideal for both residential and commercial settings. Whether anchoring a chic living room or adding warmth to a sophisticated office, Surya's Modern Carpets seamlessly combine comfort and aesthetics, leaving a lasting impression of refined luxury and impeccable taste in your design projects. Redefine your spaces with the unparalleled quality and beauty of Surya's Modern Carpets.FREE SHIPPING to Anywhere in the US 48 States",109,155,,"surya, modern, carpet","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711221044651-UYAT5SK2PTRHU3KPDSSV/Surya+Modern+Carpet.png, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711118536787-Y2VRSV2XYE190CG9XSXQ/Surya+Modern+Carpet+2.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711118537980-Z8TZM0WCN8ZMCNB32A7A/Surya+Modern+Carpet+3.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711122213575-59Z40P7F54EEEA7OQO1R/Surya+Modern+Carpet+%281%29.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711122223644-FM7NJI9IRVJ9QT53SKEL/Surya+Modern+Carpet+%282%29.JPG, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1711122223829-E8940YL5G2WAW63LQDJM/Surya+Modern+Carpet+%283%29.JPG"
